"Row.names","logFC_TNF","AveExpr_TNF","t_TNF","P.Value_TNF","adj.P.Val_TNF","B_TNF","logFC_SCO","AveExpr_SCO","t_SCO","P.Value_SCO","adj.P.Val_SCO","B_SCO"
"Pak3",0.44964052966257,5.09446109332893,6.05650937025611,6.05706553010147e-07,2.36626685841514e-06,4.99183074130565,-0.566786640882814,5.09446109332893,-8.03134826098455,1.64101115745292e-09,6.03135502667586e-08,11.4652819257924
"Pam",1.11541127387675,5.25514525355931,13.3087922576637,2.13212975341236e-15,3.54793608332285e-14,24.6884957073014,-0.376864108970264,5.25514525355931,-5.17316066685285,9.05875557420015e-06,0.000104568486930073,2.81005290260793
"Pam16",-0.939740978882015,5.78538835362787,-11.8503132577848,6.35620275765575e-14,7.89373475103395e-13,21.2476033493013,0.347731844217224,5.78538835362787,4.37331645879084,0.000101590529691229,0.000838743925330388,0.568898538432967
"Pan3",0.358709331447146,4.62355336808198,3.30944989158949,0.00214503893111191,0.00451349550726918,-2.87975180696927,-0.293068299015574,4.62355336808198,-2.93463178525275,0.00580889300335806,0.0240975104267294,-3.24418677294601
"Pank1",-1.13228732768418,5.6007814551868,-11.9747187064968,4.71079935689179e-14,5.96330588118126e-13,21.5890163913771,0.786734156260548,5.6007814551868,8.45036024293036,4.9180765077215e-10,2.16505472530217e-08,12.7372633017868
"Pank3",-2.56186589705453,9.21820099336798,-34.790511640381,4.08732582077546e-29,2.25393900989025e-26,56.4765904332852,0.711349941300448,9.21820099336798,9.46098828509751,2.93907066713321e-11,1.82500819635988e-09,15.341502705804
"Paqr4",-2.43942118403105,7.26187697937837,-29.197154891617,1.72098692999029e-26,4.06084076000509e-24,50.4420429180018,0.996984244370591,7.26187697937837,11.6012693368654,1.16454463787267e-13,1.27215718866868e-11,21.0095884404371
"Pard6a",-0.671466121234674,4.26397913331245,-6.90160156765883,4.64504786593682e-08,2.17728544784754e-07,7.88854502914604,0.38438947393192,4.26397913331245,4.09646641651677,0.000230162867071245,0.00167724614311708,0.0317197805956786
"Parl",-0.627118353743088,6.56158301652653,-8.82642988385072,1.69803977828135e-10,1.18822498838454e-09,13.105466798835,0.314782167870571,6.56158301652653,4.48781070077706,7.2181338205676e-05,0.000630344506403083,0.746008236015127
"Parm1",0.321629697313483,6.88775718596561,3.62802905452911,0.000886316070029991,0.00200628491830657,-2.36343497965939,0.255378355931588,6.88775718596561,3.04300003114068,0.0043786794951726,0.0192257762128941,-3.27603653138584
