"Row.names","logFC_TNF","AveExpr_TNF","t_TNF","P.Value_TNF","adj.P.Val_TNF","B_TNF","logFC_ROSI","AveExpr_ROSI","t_ROSI","P.Value_ROSI","adj.P.Val_ROSI","B_ROSI"
"Ndufa10",-0.853150220811644,9.03277890077372,-11.2023956870622,3.12154258865743e-13,3.42057095400189e-12,19.3546801870427,0.624615438099887,9.03277890077372,8.2320992559934,9.18898903828998e-10,1.15948334410423e-08,11.5296373598528
"Ndufa11",-0.823553415519346,8.10399909225078,-14.038383824939,4.278685019395e-16,8.08973170814459e-15,26.1090010244392,0.650848424315424,8.10399909225078,11.1665281833163,3.41432423023824e-13,8.57068026986186e-12,19.5697629391163
"Ndufa12",-0.491786772257291,7.08978483770689,-6.7713298683149,6.88100450325178e-08,3.11998812949133e-07,7.00957273727581,0.626369780065245,7.08978483770689,8.83120600265793,1.67544975908759e-10,2.46163838825846e-09,13.345146014167
"Ndufa12-ps",-0.601963625993673,5.96197666425466,-7.58396407493787,6.07314692570079e-09,3.2702413249392e-08,9.59277450146885,0.624731048815893,5.96197666425466,8.15195774944082,1.15761054685071e-09,1.42265512830674e-08,11.510108884619
"Ndufa13",-0.650690594607926,8.88513636269777,-11.1610706536332,3.4612690612752e-13,3.76369146404837e-12,19.251360513208,0.376287928432573,8.88513636269777,6.47431491946804,1.69308488602799e-07,1.33166769902388e-06,6.27670227607255
"Ndufa2",-0.593414125717768,9.42375890170065,-9.43092649810646,3.18999278628409e-11,2.51070946581586e-10,14.6377797569344,0.497945967961925,9.42375890170065,7.95624721948129,2.04099782821251e-09,2.39360759217208e-08,10.7077058725563
"Ndufa3",-0.756583079938308,8.17119511203475,-11.6245269076762,1.10016216313404e-13,1.31240780593078e-12,20.4561175088548,0.779293200401845,8.17119511203475,12.1045899329596,3.45269787164511e-14,1.08916923769168e-12,21.8872788158688
"Ndufa4",-1.11391055815549,8.59002346023856,-9.64321543120756,1.79318592491267e-11,1.46916719042498e-10,15.257475542241,0.702744992130499,8.59002346023856,6.08611536587341,5.53265722968712e-07,3.96968650131062e-06,5.11136703927875
"Ndufa5",-0.896944746718271,9.20170383960883,-6.35187541401814,2.4577925388691e-07,1.02102240752034e-06,5.60641590836286,0.801866824366527,9.20170383960883,5.71187828956767,1.74062255683394e-06,1.13898307961879e-05,3.93776366779401
"Ndufa6",-1.04359034074601,8.97112326371852,-11.5697831143135,1.25788610595221e-13,1.48405402780242e-12,20.2825415993073,0.744565455226342,8.97112326371852,8.27468022614453,8.13040494509285e-10,1.04377059349516e-08,11.6575702807533
"Ndufa7",-0.583534180831961,8.5649826967962,-10.1477577564514,4.66982851038557e-12,4.18334371795968e-11,16.6207524074656,0.472114481927857,8.5649826967962,8.26733358067876,8.30379566963754e-10,1.06117050519225e-08,11.6457097078035
"Ndufa8",-0.777026407531652,7.62586933025973,-13.7073466902436,8.80258872243184e-16,1.58312411200078e-14,25.40298268848,0.796041314904278,7.62586933025973,14.2328578731514,2.81621332252897e-16,1.45726687628056e-14,26.7914934932868
"Ndufa9",-0.835478563133895,8.102653782626,-13.1214664045718,3.25156716829271e-15,5.23355927032979e-14,24.0413790392838,0.638177116687938,8.102653782626,10.0812526283956,5.56539797901186e-12,1.10913117156051e-10,16.7377594939803
"Ndufab1",-1.19499865271333,7.30914979633694,-16.8903807290697,1.35830612286126e-18,4.61534793292178e-17,32.0224415619159,1.1920962396547,7.30914979633694,17.0862151032164,9.40997829956046e-19,8.67335343579799e-17,32.5875381015266
"Ndufaf1",-0.717777549927274,4.19598599513314,-5.96370444067777,8.0466578641492e-07,3.09132105116354e-06,5.0472488643597,0.587712622634895,4.19598599513314,5.09538499337401,1.14856119358724e-05,6.30266277299639e-05,2.6458969467274
"Ndufaf3",-0.512742136635271,4.87822368102037,-4.96555217702711,1.70566801787183e-05,5.19673549787447e-05,1.86278765053197,0.69121547730584,4.87822368102037,7.16953218066938,2.07900456319317e-08,1.99415413305309e-07,8.77395501810748
"Ndufb1",-0.389339791671784,8.19688937466171,-4.66783055765659,4.20289195618987e-05,0.000119454876654127,0.518281032640498,0.470320990970196,8.19688937466171,5.70901506270011,1.75596634937562e-06,1.1471146727538e-05,3.95821226893365
"Ndufb10",-1.63377162726114,8.35671723602703,-18.8215067090358,4.18163874036475e-20,1.94232180546549e-18,35.5060373194051,1.24226860378353,8.35671723602703,14.3244581159933,2.31588464620338e-16,1.21434698026255e-14,26.9731478902636
"Ndufb11",-0.83546836762631,7.42855483827261,-10.4092639701687,2.35571763563126e-12,2.2234205332142e-11,17.3780504208117,0.580304060110157,7.42855483827261,7.27074737368456,1.53699651715543e-08,1.501116300447e-07,8.76464917721962
"Ndufb2",-0.77554318782296,8.34520317915423,-12.7402357115666,7.77196013494949e-15,1.15192946824289e-13,23.1400329555443,0.477831748893159,8.34520317915423,7.8745192404503,2.58967461960447e-09,2.98368956661069e-08,10.5107650668692
"Ndufb3",-1.31366392968975,9.37640401217442,-11.316878157904,2.34731012569949e-13,2.6501019007658e-12,19.6402327477834,1.13847073742238,9.37640401217442,9.84620847847092,1.03943700184971e-11,1.93732665842383e-10,16.0621512967175
"Ndufb4",-0.642908048520132,7.00443738627822,-7.96307758153951,2.00085409181509e-09,1.16919646236922e-08,10.5760285425102,0.554529781962429,7.00443738627822,6.96834167638728,3.79996405192538e-08,3.44861352958582e-07,7.8810618395146
"Ndufb5",-1.01500430218422,8.18211884394927,-11.0190591006846,4.94468352604139e-13,5.2461669280788e-12,18.9238272799664,0.737552295631041,8.18211884394927,8.03669356745927,1.61577044576144e-09,1.92943924282323e-08,10.9965626935609
"Ndufb6",-0.884450817217474,7.62980217523773,-13.1244210676371,3.22989443805031e-15,5.20577794810349e-14,24.0812048222237,0.865380761893226,7.62980217523773,12.9986907759517,4.29701468875443e-15,1.66216981304671e-13,24.0306657595307
"Ndufb7",-0.844293625956577,7.82568563233515,-9.74789958411004,1.35269967912052e-11,1.13912568267408e-10,15.581523865817,0.673717003441944,7.82568563233515,7.83347728069828,2.91939580496061e-09,3.33838961329922e-08,10.4163604848439
"Ndufb8",-0.920296437148838,9.27596735128883,-16.2354700253368,4.75114619244884e-18,1.40135056946278e-16,30.6486207088267,0.718026854130462,9.27596735128883,12.7164445484132,8.2109316784071e-15,3.02726787318272e-13,23.311790814153
