"GeneID","gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Stard5","Stard5",0.383643335362489,4.84574887926234,2.49612203467074,0.0173211550158299,0.0299070667169268,-4.7582785036621
"Chka","Chka",0.336447263223386,4.44259291712529,2.51850824674348,0.0164167500865856,0.0284663165081624,-4.7639451132232
"Zfp90","Zfp90",0.382473389355079,2.37340358947876,2.25929957576558,0.0300762620567582,0.0490381066536254,-4.7643759312385
"Surf2","Surf2",-0.288826883457973,4.14120982805217,-2.48010329228247,0.0179960205374352,0.0309545196531069,-4.76460387505163
"Ccndbp1","Ccndbp1",-0.234993066037763,4.69123727826992,-2.53328717275825,0.0158435929686595,0.0275656554850678,-4.76654834523977
"Lin7c","Lin7c",-0.193792951288723,5.69572928424345,-2.61033544720584,0.0131418112878264,0.023308341788,-4.76710774075045
"Smpd2","Smpd2",-0.264570671397793,3.64461041899001,-2.36535036374187,0.023575383143202,0.0394864239527963,-4.76721784286429
"Kidins220","Kidins220",-0.226456102385296,4.83795137090435,-2.55459733763936,0.0150493889761179,0.0263353146158765,-4.76740618173214
"Ankmy2","Ankmy2",-0.30096134191251,4.45098532083276,-2.4891592745045,0.0176116014182534,0.0303596834501101,-4.77102203292928
"Rad1","Rad1",0.26758756886915,3.82790769819014,2.44636837649619,0.0194963851203365,0.0332396461921574,-4.77190481874209
"Snrpe","Snrpe",0.247515353919177,6.42123641461933,2.66343182489259,0.0115343372778606,0.0207442242689328,-4.77350200724921
"Vim","Vim",0.185033715513141,10.0611799494583,2.75088134631744,0.00927794181192128,0.0170255551193134,-4.7753749018844
"Ino80c","Ino80c",0.236620431676448,4.85659098913852,2.54146057158882,0.0155345445246484,0.0270798694299352,-4.77673158760651
"Rad52","Rad52",0.315513330303916,3.17964840630239,2.31987709895698,0.0261893169108085,0.0433780093940361,-4.7775469635944
"Neurl4","Neurl4",-0.326651017591799,3.29103630688888,-2.32841310568447,0.02567957388883,0.042635464781933,-4.77797499216072
"Gapdh","Gapdh",-0.443603069572539,8.6091447478811,-2.72139355668936,0.00998843222094013,0.01821102199701,-4.77812147717193
"Rab9","Rab9",-0.264335917647784,5.64324257955185,-2.60471014696594,0.0133237024661503,0.023584852467463,-4.78308092531435
"Tmem230","Tmem230",-0.233791266268414,4.65318775466596,-2.49977822783594,0.0171703988115784,0.029672823374689,-4.78439533654813
"Hirip3","Hirip3",0.319534880717256,2.71251312400925,2.26876798441769,0.0294364916097544,0.0480813689619109,-4.78733846205275
"Aasdhppt","Aasdhppt",-0.251111510584352,4.79551055731117,-2.51328966731257,0.0166236307668366,0.0287954185563262,-4.78862286999225
"Tjp1","Tjp1",0.350462717185215,3.45680997799877,2.3532905832212,0.0242445992321214,0.0404980577290908,-4.78940885806146
"Dip2c","Dip2c",0.380252797560835,3.39732514501798,2.35678594851539,0.024048890766686,0.0402166992580242,-4.79043947436669
"Taf8","Taf8",0.343776919365488,3.06156758511464,2.3053075521812,0.0270804518376528,0.0447096516625563,-4.7913049186415
"Rnf122","Rnf122",-0.366963014812019,3.5863350515861,-2.26520444531967,0.0296758305024211,0.0484119812316875,-4.79473358030445
"Arfgef1","Arfgef1",0.212740135454042,5.04967069031592,2.55769339823576,0.0149370916459086,0.0261582020540937,-4.79613929735238
"Dhodh","Dhodh",-0.27299496536576,4.51049910267772,-2.47983467245874,0.0180075393360541,0.0309698176511321,-4.79719905160875
"Casp9","Casp9",-0.294341050614211,3.98939874181001,-2.43973036817822,0.0198046978907178,0.0337019797655688,-4.7977850011338
"Gm13375","Gm13375",-0.327142315757044,3.23021679747192,-2.32454969876822,0.0259091660255801,0.0429786929496285,-4.79993076379873
"Trpc4ap","Trpc4ap",-0.179750558758614,6.55387705047862,-2.65290603574642,0.0118377844428029,0.0212284816622873,-4.80617973026668
"Arl5b","Arl5b",0.376097369257595,3.45610381042375,2.34361891149113,0.0247936449564282,0.0413274121497512,-4.80622119150563
"Mrpl17","Mrpl17",-0.181472143944053,7.13766203558876,-2.67252393983971,0.0112780287819373,0.020332852012423,-4.80962653951494
"Brd3","Brd3",0.142584629516355,6.62931129450206,2.65411851801251,0.0118024576266616,0.0211747863563493,-4.81158436617388
"Pex6","Pex6",-0.394129586133733,4.27526950302796,-2.43059475489137,0.0202362715376115,0.0343867970042835,-4.81199810575978
